Id;Hora de inicio;Hora de finalizaci�n;Correo electr�nico;Nombre;semester;career;interest_field;expectation_clarity;expectation_alignment;career_expectations;perceived_difficulty;study_habits;time_management;academic_stress;capacity_alignment;academic_enjoyment;area_identification;intrinsic_motivation;extrinsic_motivation;social_impact;professional_value
66;02/18/26 08:57:00;02/18/26 09:04:00;anonymous;;7.0;Ingeniería de Sistemas;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;De acuerdo;En desacuerdo
67;02/16/26 00:53:00;02/16/26 00:56:00;anonymous;;9.0;Ingeniería de Sistemas;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;En desacuerdo;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy de acuerdo
68;02/21/26 07:39:00;02/21/26 07:47:00;anonymous;;10.0;Ingeniería de Sistemas;Muy de acuerdo;Muy de acuerdo;En desacuerdo;Muy en desacuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo
69;02/20/26 23:25:00;02/20/26 23:26:00;anonymous;;1.0;Ingeniería de Sistemas;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo;De acuerdo;Muy en desacuerdo;En desacuerdo;Muy de acuerdo;Muy en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;Muy en desacuerdo
70;02/17/26 16:15:00;02/17/26 16:19:00;anonymous;;10.0;Ingeniería de Sistemas;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo
71;02/17/26 10:34:00;02/17/26 10:42:00;anonymous;;7.0;Ingeniería de Sistemas;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo
72;02/17/26 11:21:00;02/17/26 11:30:00;anonymous;;4.0;Ingeniería de Sistemas;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo
73;02/17/26 07:18:00;02/17/26 07:24:00;anonymous;;5.0;Sistemas;Muy de acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;De acuerdo;En desacuerdo;Muy en desacuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo
74;02/18/26 21:40:00;02/18/26 21:50:00;anonymous;;5.0;Sistemas;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;En desacuerdo;Muy en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo
75;02/16/26 08:14:00;02/16/26 08:20:00;anonymous;;8.0;Ingeniería de Sistemas;Muy de acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy en desacuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;De acuerdo
76;02/17/26 15:28:00;02/17/26 15:29:00;anonymous;;10.0;Sistemas;En desacuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo
77;02/15/26 06:44:00;02/15/26 06:50:00;anonymous;;6.0;Ingeniería de Sistemas;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo
78;02/18/26 08:55:00;02/18/26 09:01:00;anonymous;;4.0;Ingeniería de Sistemas;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;De acuerdo
79;02/15/26 23:22:00;02/15/26 23:27:00;anonymous;;1.0;Ingeniería de Sistemas;De acuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo
80;02/16/26 19:30:00;02/16/26 19:34:00;anonymous;;9.0;Sistemas;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy de acuerdo
81;02/16/26 21:57:00;02/16/26 22:00:00;anonymous;;2.0;Ingeniería de Sistemas;De acuerdo;Muy de acuerdo;Muy en desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy en desacuerdo
82;02/21/26 20:58:00;02/21/26 21:07:00;anonymous;;5.0;Ingeniería de Sistemas;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;De acuerdo
83;02/15/26 12:12:00;02/15/26 12:19:00;anonymous;;2.0;Ingeniería de Sistemas;En desacuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;De acuerdo
84;02/16/26 05:47:00;02/16/26 05:53:00;anonymous;;6.0;Ingeniería de Sistemas;De acuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo
85;02/16/26 23:28:00;02/16/26 23:29:00;anonymous;;4.0;Ingeniería de Sistemas;Muy en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo;En desacuerdo;De acuerdo
86;02/17/26 06:33:00;02/17/26 06:37:00;anonymous;;6.0;Sistemas;Muy en desacuerdo;En desacuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo
87;02/18/26 09:36:00;02/18/26 09:40:00;anonymous;;5.0;Ingeniería de Sistemas;De acuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo
88;02/21/26 16:25:00;02/21/26 16:35:00;anonymous;;1.0;Ingeniería de Sistemas;Muy de acuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo
89;02/15/26 09:08:00;02/15/26 09:12:00;anonymous;;10.0;Ingeniería de Sistemas;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo
90;02/17/26 19:26:00;02/17/26 19:29:00;anonymous;;3.0;Ingeniería de Sistemas;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy de acuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo
91;02/16/26 19:25:00;02/16/26 19:27:00;anonymous;;6.0;Ingeniería de Sistemas;Muy de acuerdo;Muy en desacuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo;Muy de acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo
92;02/18/26 01:50:00;02/18/26 01:53:00;anonymous;;7.0;Sistemas;En desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;En desacuerdo
93;02/18/26 18:35:00;02/18/26 18:45:00;anonymous;;7.0;Sistemas;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy de acuerdo;Muy en desacuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo
94;02/19/26 22:19:00;02/19/26 22:29:00;anonymous;;5.0;Sistemas;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;En desacuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo
95;02/15/26 03:29:00;02/15/26 03:32:00;anonymous;;6.0;Ingeniería de Sistemas;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo
96;02/20/26 18:58:00;02/20/26 19:03:00;anonymous;;6.0;Ingeniería de Sistemas;De acuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy de acuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo
97;02/15/26 02:48:00;02/15/26 02:49:00;anonymous;;7.0;Ingeniería de Sistemas;Muy de acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo;De acuerdo;En desacuerdo;Muy en desacuerdo;Muy de acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo
98;02/16/26 07:41:00;02/16/26 07:51:00;anonymous;;5.0;Sistemas;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo
99;02/19/26 10:21:00;02/19/26 10:29:00;anonymous;;10.0;Ingeniería de Sistemas;Muy en desacuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;De acuerdo;Muy en desacuerdo
100;02/17/26 18:07:00;02/17/26 18:15:00;anonymous;;3.0;Sistemas;Muy en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;De acuerdo
101;02/21/26 20:17:00;02/21/26 20:27:00;anonymous;;8.0;Sistemas;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;Muy en desacuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;En desacuerdo;Muy en desacuerdo
102;02/15/26 10:38:00;02/15/26 10:40:00;anonymous;;10.0;Sistemas;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy en desacuerdo
103;02/16/26 23:02:00;02/16/26 23:07:00;anonymous;;1.0;Ingeniería de Sistemas;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo
104;02/19/26 00:55:00;02/19/26 01:03:00;anonymous;;3.0;Sistemas;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;Muy en desacuerdo;Muy de acuerdo
105;02/19/26 13:43:00;02/19/26 13:47:00;anonymous;;1.0;Sistemas;De acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;En desacuerdo
106;02/18/26 00:02:00;02/18/26 00:08:00;anonymous;;3.0;Sistemas;De acuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo
107;02/21/26 02:38:00;02/21/26 02:46:00;anonymous;;1.0;Sistemas;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;Muy de acuerdo
108;02/18/26 14:05:00;02/18/26 14:12:00;anonymous;;8.0;Sistemas;Muy de acuerdo;Muy en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo
109;02/19/26 23:18:00;02/19/26 23:22:00;anonymous;;8.0;Ingeniería de Sistemas;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy de acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo
110;02/19/26 09:37:00;02/19/26 09:38:00;anonymous;;2.0;Sistemas;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;De acuerdo;Muy en desacuerdo;En desacuerdo
111;02/18/26 05:50:00;02/18/26 05:51:00;anonymous;;5.0;Ingeniería de Sistemas;Muy en desacuerdo;Muy de acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy de acuerdo;De acuerdo
112;02/16/26 04:15:00;02/16/26 04:20:00;anonymous;;5.0;Ingeniería de Sistemas;Muy en desacuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo
113;02/17/26 20:54:00;02/17/26 20:58:00;anonymous;;1.0;Sistemas;Muy de acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo
114;02/18/26 10:54:00;02/18/26 10:56:00;anonymous;;7.0;Ingeniería de Sistemas;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo
115;02/19/26 03:22:00;02/19/26 03:29:00;anonymous;;4.0;Ingeniería de Sistemas;Muy en desacuerdo;De acuerdo;Muy en desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy en desacuerdo;De acuerdo
116;02/16/26 14:55:00;02/16/26 15:02:00;anonymous;;5.0;Ingeniería de Sistemas;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo
117;02/16/26 23:07:00;02/16/26 23:14:00;anonymous;;8.0;Sistemas;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo
118;02/17/26 12:37:00;02/17/26 12:42:00;anonymous;;4.0;Ingeniería de Sistemas;Muy de acuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;De acuerdo;Muy en desacuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo
119;02/15/26 10:42:00;02/15/26 10:50:00;anonymous;;2.0;Ingeniería de Sistemas;Muy en desacuerdo;De acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy de acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo
120;02/20/26 01:40:00;02/20/26 01:50:00;anonymous;;1.0;Sistemas;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo
